source,consumer_type,consumption_band,tax,iso2,period,metric_type,value,is_flagged
Eurostat,Household,KWH1000-2499,I_TAX,AL,2020-S2,Electricity price (EUR per KWH),0.092,e
Eurostat,Household,KWH1000-2499,I_TAX,AL,2021-S1,Electricity price (EUR per KWH),0.0925,e
Eurostat,Household,KWH1000-2499,I_TAX,AL,2021-S2,Electricity price (EUR per KWH),0.0937,e
Eurostat,Household,KWH1000-2499,I_TAX,AL,2022-S1,Electricity price (EUR per KWH),0.0941,
Eurostat,Household,KWH1000-2499,I_TAX,AL,2022-S2,Electricity price (EUR per KWH),0.0976,
Eurostat,Household,KWH1000-2499,I_TAX,AL,2023-S1,Electricity price (EUR per KWH),0.101,
Eurostat,Household,KWH1000-2499,I_TAX,AL,2023-S2,Electricity price (EUR per KWH),0.1089,e
Eurostat,Household,KWH1000-2499,I_TAX,AL,2024-S1,Electricity price (EUR per KWH),0.1114,
Eurostat,Household,KWH1000-2499,I_TAX,AT,2007-S1,Electricity price (EUR per KWH),,
Eurostat,Household,KWH1000-2499,I_TAX,AT,2007-S2,Electricity price (EUR per KWH),0.2008,
Eurostat,Household,KWH1000-2499,I_TAX,AT,2008-S1,Electricity price (EUR per KWH),0.2005,
Eurostat,Household,KWH1000-2499,I_TAX,AT,2008-S2,Electricity price (EUR per KWH),0.2033,
Eurostat,Household,KWH1000-2499,I_TAX,AT,2009-S1,Electricity price (EUR per KWH),0.2089,
Eurostat,Household,KWH1000-2499,I_TAX,AT,2009-S2,Electricity price (EUR per KWH),0.2101,
Eurostat,Household,KWH1000-2499,I_TAX,AT,2010-S1,Electricity price (EUR per KWH),0.2172,
Eurostat,Household,KWH1000-2499,I_TAX,AT,2010-S2,Electricity price (EUR per KWH),0.2115,
Eurostat,Household,KWH1000-2499,I_TAX,AT,2011-S1,Electricity price (EUR per KWH),0.221,
Eurostat,Household,KWH1000-2499,I_TAX,AT,2011-S2,Electricity price (EUR per KWH),0.2201,
Eurostat,Household,KWH1000-2499,I_TAX,AT,2012-S1,Electricity price (EUR per KWH),0.2221,
Eurostat,Household,KWH1000-2499,I_TAX,AT,2012-S2,Electricity price (EUR per KWH),0.2254,
Eurostat,Household,KWH1000-2499,I_TAX,AT,2013-S1,Electricity price (EUR per KWH),0.2364,
Eurostat,Household,KWH1000-2499,I_TAX,AT,2013-S2,Electricity price (EUR per KWH),0.2323,
Eurostat,Household,KWH1000-2499,I_TAX,AT,2014-S1,Electricity price (EUR per KWH),0.2341,
Eurostat,Household,KWH1000-2499,I_TAX,AT,2014-S2,Electricity price (EUR per KWH),0.2311,
Eurostat,Household,KWH1000-2499,I_TAX,AT,2015-S1,Electricity price (EUR per KWH),0.2419,
Eurostat,Household,KWH1000-2499,I_TAX,AT,2015-S2,Electricity price (EUR per KWH),0.2393,
Eurostat,Household,KWH1000-2499,I_TAX,AT,2016-S1,Electricity price (EUR per KWH),0.2479,
Eurostat,Household,KWH1000-2499,I_TAX,AT,2016-S2,Electricity price (EUR per KWH),0.2453,
Eurostat,Household,KWH1000-2499,I_TAX,AT,2017-S1,Electricity price (EUR per KWH),0.2428,
Eurostat,Household,KWH1000-2499,I_TAX,AT,2017-S2,Electricity price (EUR per KWH),0.2337,
Eurostat,Household,KWH1000-2499,I_TAX,AT,2018-S1,Electricity price (EUR per KWH),0.232,
Eurostat,Household,KWH1000-2499,I_TAX,AT,2018-S2,Electricity price (EUR per KWH),0.2411,
Eurostat,Household,KWH1000-2499,I_TAX,AT,2019-S1,Electricity price (EUR per KWH),0.2426,
Eurostat,Household,KWH1000-2499,I_TAX,AT,2019-S2,Electricity price (EUR per KWH),0.2453,
Eurostat,Household,KWH1000-2499,I_TAX,AT,2020-S1,Electricity price (EUR per KWH),0.2511,
Eurostat,Household,KWH1000-2499,I_TAX,AT,2020-S2,Electricity price (EUR per KWH),0.2567,
Eurostat,Household,KWH1000-2499,I_TAX,AT,2021-S1,Electricity price (EUR per KWH),0.265,
Eurostat,Household,KWH1000-2499,I_TAX,AT,2021-S2,Electricity price (EUR per KWH),0.2787,
Eurostat,Household,KWH1000-2499,I_TAX,AT,2022-S1,Electricity price (EUR per KWH),0.2616,
Eurostat,Household,KWH1000-2499,I_TAX,AT,2022-S2,Electricity price (EUR per KWH),0.2614,e
Eurostat,Household,KWH1000-2499,I_TAX,AT,2023-S1,Electricity price (EUR per KWH),0.2988,e
Eurostat,Household,KWH1000-2499,I_TAX,AT,2023-S2,Electricity price (EUR per KWH),0.3055,e
Eurostat,Household,KWH1000-2499,I_TAX,AT,2024-S1,Electricity price (EUR per KWH),0.3011,e
Eurostat,Household,KWH1000-2499,I_TAX,BA,2007-S1,Electricity price (EUR per KWH),,
Eurostat,Household,KWH1000-2499,I_TAX,BA,2007-S2,Electricity price (EUR per KWH),,
Eurostat,Household,KWH1000-2499,I_TAX,BA,2008-S1,Electricity price (EUR per KWH),,
Eurostat,Household,KWH1000-2499,I_TAX,BA,2008-S2,Electricity price (EUR per KWH),,
Eurostat,Household,KWH1000-2499,I_TAX,BA,2009-S1,Electricity price (EUR per KWH),,
Eurostat,Household,KWH1000-2499,I_TAX,BA,2009-S2,Electricity price (EUR per KWH),,
Eurostat,Household,KWH1000-2499,I_TAX,BA,2010-S1,Electricity price (EUR per KWH),,
Eurostat,Household,KWH1000-2499,I_TAX,BA,2010-S2,Electricity price (EUR per KWH),,
Eurostat,Household,KWH1000-2499,I_TAX,BA,2011-S1,Electricity price (EUR per KWH),,
Eurostat,Household,KWH1000-2499,I_TAX,BA,2011-S2,Electricity price (EUR per KWH),,
Eurostat,Household,KWH1000-2499,I_TAX,BA,2012-S1,Electricity price (EUR per KWH),0.0909,
Eurostat,Household,KWH1000-2499,I_TAX,BA,2012-S2,Electricity price (EUR per KWH),0.0903,
Eurostat,Household,KWH1000-2499,I_TAX,BA,2013-S1,Electricity price (EUR per KWH),0.0914,
Eurostat,Household,KWH1000-2499,I_TAX,BA,2013-S2,Electricity price (EUR per KWH),0.0913,
Eurostat,Household,KWH1000-2499,I_TAX,BA,2014-S1,Electricity price (EUR per KWH),0.0917,
Eurostat,Household,KWH1000-2499,I_TAX,BA,2014-S2,Electricity price (EUR per KWH),0.0881,
Eurostat,Household,KWH1000-2499,I_TAX,BA,2015-S1,Electricity price (EUR per KWH),0.0942,
Eurostat,Household,KWH1000-2499,I_TAX,BA,2015-S2,Electricity price (EUR per KWH),0.0954,
Eurostat,Household,KWH1000-2499,I_TAX,BA,2016-S1,Electricity price (EUR per KWH),0.095,
Eurostat,Household,KWH1000-2499,I_TAX,BA,2016-S2,Electricity price (EUR per KWH),0.0957,
Eurostat,Household,KWH1000-2499,I_TAX,BA,2017-S1,Electricity price (EUR per KWH),0.0976,
Eurostat,Household,KWH1000-2499,I_TAX,BA,2017-S2,Electricity price (EUR per KWH),0.0982,
Eurostat,Household,KWH1000-2499,I_TAX,BA,2018-S1,Electricity price (EUR per KWH),0.0984,
Eurostat,Household,KWH1000-2499,I_TAX,BA,2018-S2,Electricity price (EUR per KWH),0.0977,
Eurostat,Household,KWH1000-2499,I_TAX,BA,2019-S1,Electricity price (EUR per KWH),0.0979,
Eurostat,Household,KWH1000-2499,I_TAX,BA,2019-S2,Electricity price (EUR per KWH),0.098,
Eurostat,Household,KWH1000-2499,I_TAX,BA,2020-S1,Electricity price (EUR per KWH),0.0975,
Eurostat,Household,KWH1000-2499,I_TAX,BA,2020-S2,Electricity price (EUR per KWH),0.1007,
Eurostat,Household,KWH1000-2499,I_TAX,BA,2021-S1,Electricity price (EUR per KWH),0.098,
Eurostat,Household,KWH1000-2499,I_TAX,BA,2021-S2,Electricity price (EUR per KWH),0.097,
Eurostat,Household,KWH1000-2499,I_TAX,BA,2022-S1,Electricity price (EUR per KWH),0.0996,
Eurostat,Household,KWH1000-2499,I_TAX,BA,2022-S2,Electricity price (EUR per KWH),0.1003,
Eurostat,Household,KWH1000-2499,I_TAX,BA,2023-S1,Electricity price (EUR per KWH),0.1043,
Eurostat,Household,KWH1000-2499,I_TAX,BA,2023-S2,Electricity price (EUR per KWH),0.099,
Eurostat,Household,KWH1000-2499,I_TAX,BA,2024-S1,Electricity price (EUR per KWH),0.1067,
Eurostat,Household,KWH1000-2499,I_TAX,BE,2007-S1,Electricity price (EUR per KWH),,
Eurostat,Household,KWH1000-2499,I_TAX,BE,2007-S2,Electricity price (EUR per KWH),0.1867,
Eurostat,Household,KWH1000-2499,I_TAX,BE,2008-S1,Electricity price (EUR per KWH),0.2172,
Eurostat,Household,KWH1000-2499,I_TAX,BE,2008-S2,Electricity price (EUR per KWH),0.2467,
Eurostat,Household,KWH1000-2499,I_TAX,BE,2009-S1,Electricity price (EUR per KWH),0.2156,
Eurostat,Household,KWH1000-2499,I_TAX,BE,2009-S2,Electricity price (EUR per KWH),0.2088,
Eurostat,Household,KWH1000-2499,I_TAX,BE,2010-S1,Electricity price (EUR per KWH),0.2207,
Eurostat,Household,KWH1000-2499,I_TAX,BE,2010-S2,Electricity price (EUR per KWH),0.2194,
Eurostat,Household,KWH1000-2499,I_TAX,BE,2011-S1,Electricity price (EUR per KWH),0.2369,
Eurostat,Household,KWH1000-2499,I_TAX,BE,2011-S2,Electricity price (EUR per KWH),0.2366,
Eurostat,Household,KWH1000-2499,I_TAX,BE,2012-S1,Electricity price (EUR per KWH),0.2327,
Eurostat,Household,KWH1000-2499,I_TAX,BE,2012-S2,Electricity price (EUR per KWH),0.2436,
Eurostat,Household,KWH1000-2499,I_TAX,BE,2013-S1,Electricity price (EUR per KWH),0.2343,
Eurostat,Household,KWH1000-2499,I_TAX,BE,2013-S2,Electricity price (EUR per KWH),0.24,
Eurostat,Household,KWH1000-2499,I_TAX,BE,2014-S1,Electricity price (EUR per KWH),0.2245,
Eurostat,Household,KWH1000-2499,I_TAX,BE,2014-S2,Electricity price (EUR per KWH),0.2157,
Eurostat,Household,KWH1000-2499,I_TAX,BE,2015-S1,Electricity price (EUR per KWH),0.2249,
Eurostat,Household,KWH1000-2499,I_TAX,BE,2015-S2,Electricity price (EUR per KWH),0.2528,
Eurostat,Household,KWH1000-2499,I_TAX,BE,2016-S1,Electricity price (EUR per KWH),0.2823,
Eurostat,Household,KWH1000-2499,I_TAX,BE,2016-S2,Electricity price (EUR per KWH),0.3096,
Eurostat,Household,KWH1000-2499,I_TAX,BE,2017-S1,Electricity price (EUR per KWH),0.3218,
Eurostat,Household,KWH1000-2499,I_TAX,BE,2017-S2,Electricity price (EUR per KWH),0.327,
Eurostat,Household,KWH1000-2499,I_TAX,BE,2018-S1,Electricity price (EUR per KWH),0.3028,
Eurostat,Household,KWH1000-2499,I_TAX,BE,2018-S2,Electricity price (EUR per KWH),0.318,
Eurostat,Household,KWH1000-2499,I_TAX,BE,2019-S1,Electricity price (EUR per KWH),0.3075,
Eurostat,Household,KWH1000-2499,I_TAX,BE,2019-S2,Electricity price (EUR per KWH),0.3099,
Eurostat,Household,KWH1000-2499,I_TAX,BE,2020-S1,Electricity price (EUR per KWH),0.2998,
Eurostat,Household,KWH1000-2499,I_TAX,BE,2020-S2,Electricity price (EUR per KWH),0.2938,
Eurostat,Household,KWH1000-2499,I_TAX,BE,2021-S1,Electricity price (EUR per KWH),0.291,
Eurostat,Household,KWH1000-2499,I_TAX,BE,2021-S2,Electricity price (EUR per KWH),0.3161,
Eurostat,Household,KWH1000-2499,I_TAX,BE,2022-S1,Electricity price (EUR per KWH),0.3633,
Eurostat,Household,KWH1000-2499,I_TAX,BE,2022-S2,Electricity price (EUR per KWH),0.4586,
Eurostat,Household,KWH1000-2499,I_TAX,BE,2023-S1,Electricity price (EUR per KWH),0.4559,
Eurostat,Household,KWH1000-2499,I_TAX,BE,2023-S2,Electricity price (EUR per KWH),0.4111,
Eurostat,Household,KWH1000-2499,I_TAX,BE,2024-S1,Electricity price (EUR per KWH),0.3715,
Eurostat,Household,KWH1000-2499,I_TAX,BG,2007-S1,Electricity price (EUR per KWH),,
Eurostat,Household,KWH1000-2499,I_TAX,BG,2007-S2,Electricity price (EUR per KWH),0.0721,
Eurostat,Household,KWH1000-2499,I_TAX,BG,2008-S1,Electricity price (EUR per KWH),0.0731,
Eurostat,Household,KWH1000-2499,I_TAX,BG,2008-S2,Electricity price (EUR per KWH),0.0808,
Eurostat,Household,KWH1000-2499,I_TAX,BG,2009-S1,Electricity price (EUR per KWH),0.0833,
Eurostat,Household,KWH1000-2499,I_TAX,BG,2009-S2,Electricity price (EUR per KWH),0.0813,
Eurostat,Household,KWH1000-2499,I_TAX,BG,2010-S1,Electricity price (EUR per KWH),0.0813,
Eurostat,Household,KWH1000-2499,I_TAX,BG,2010-S2,Electricity price (EUR per KWH),0.0832,
Eurostat,Household,KWH1000-2499,I_TAX,BG,2011-S1,Electricity price (EUR per KWH),0.0829,
Eurostat,Household,KWH1000-2499,I_TAX,BG,2011-S2,Electricity price (EUR per KWH),0.0858,
Eurostat,Household,KWH1000-2499,I_TAX,BG,2012-S1,Electricity price (EUR per KWH),0.085,
Eurostat,Household,KWH1000-2499,I_TAX,BG,2012-S2,Electricity price (EUR per KWH),0.0952,
Eurostat,Household,KWH1000-2499,I_TAX,BG,2013-S1,Electricity price (EUR per KWH),0.0934,
Eurostat,Household,KWH1000-2499,I_TAX,BG,2013-S2,Electricity price (EUR per KWH),0.0872,
Eurostat,Household,KWH1000-2499,I_TAX,BG,2014-S1,Electricity price (EUR per KWH),0.0838,
Eurostat,Household,KWH1000-2499,I_TAX,BG,2014-S2,Electricity price (EUR per KWH),0.0901,
Eurostat,Household,KWH1000-2499,I_TAX,BG,2015-S1,Electricity price (EUR per KWH),0.0954,
Eurostat,Household,KWH1000-2499,I_TAX,BG,2015-S2,Electricity price (EUR per KWH),0.0961,
Eurostat,Household,KWH1000-2499,I_TAX,BG,2016-S1,Electricity price (EUR per KWH),0.0963,
Eurostat,Household,KWH1000-2499,I_TAX,BG,2016-S2,Electricity price (EUR per KWH),0.0949,
Eurostat,Household,KWH1000-2499,I_TAX,BG,2017-S1,Electricity price (EUR per KWH),0.0962,
Eurostat,Household,KWH1000-2499,I_TAX,BG,2017-S2,Electricity price (EUR per KWH),0.0984,
Eurostat,Household,KWH1000-2499,I_TAX,BG,2018-S1,Electricity price (EUR per KWH),0.0986,
Eurostat,Household,KWH1000-2499,I_TAX,BG,2018-S2,Electricity price (EUR per KWH),0.1004,
Eurostat,Household,KWH1000-2499,I_TAX,BG,2019-S1,Electricity price (EUR per KWH),0.1003,
Eurostat,Household,KWH1000-2499,I_TAX,BG,2019-S2,Electricity price (EUR per KWH),0.0994,
Eurostat,Household,KWH1000-2499,I_TAX,BG,2020-S1,Electricity price (EUR per KWH),0.1017,
Eurostat,Household,KWH1000-2499,I_TAX,BG,2020-S2,Electricity price (EUR per KWH),0.1021,
Eurostat,Household,KWH1000-2499,I_TAX,BG,2021-S1,Electricity price (EUR per KWH),0.1045,
Eurostat,Household,KWH1000-2499,I_TAX,BG,2021-S2,Electricity price (EUR per KWH),0.1104,
Eurostat,Household,KWH1000-2499,I_TAX,BG,2022-S1,Electricity price (EUR per KWH),0.111,
Eurostat,Household,KWH1000-2499,I_TAX,BG,2022-S2,Electricity price (EUR per KWH),0.1147,
Eurostat,Household,KWH1000-2499,I_TAX,BG,2023-S1,Electricity price (EUR per KWH),0.1146,
Eurostat,Household,KWH1000-2499,I_TAX,BG,2023-S2,Electricity price (EUR per KWH),0.1192,
Eurostat,Household,KWH1000-2499,I_TAX,BG,2024-S1,Electricity price (EUR per KWH),0.1193,
Eurostat,Household,KWH1000-2499,I_TAX,CY,2007-S1,Electricity price (EUR per KWH),,
Eurostat,Household,KWH1000-2499,I_TAX,CY,2007-S2,Electricity price (EUR per KWH),0.1554,
Eurostat,Household,KWH1000-2499,I_TAX,CY,2008-S1,Electricity price (EUR per KWH),0.1757,
Eurostat,Household,KWH1000-2499,I_TAX,CY,2008-S2,Electricity price (EUR per KWH),0.1906,
Eurostat,Household,KWH1000-2499,I_TAX,CY,2009-S1,Electricity price (EUR per KWH),0.131,
Eurostat,Household,KWH1000-2499,I_TAX,CY,2009-S2,Electricity price (EUR per KWH),0.1511,
Eurostat,Household,KWH1000-2499,I_TAX,CY,2010-S1,Electricity price (EUR per KWH),0.185,
Eurostat,Household,KWH1000-2499,I_TAX,CY,2010-S2,Electricity price (EUR per KWH),0.201,
Eurostat,Household,KWH1000-2499,I_TAX,CY,2011-S1,Electricity price (EUR per KWH),0.2047,
Eurostat,Household,KWH1000-2499,I_TAX,CY,2011-S2,Electricity price (EUR per KWH),0.2406,
Eurostat,Household,KWH1000-2499,I_TAX,CY,2012-S1,Electricity price (EUR per KWH),0.2784,
Eurostat,Household,KWH1000-2499,I_TAX,CY,2012-S2,Electricity price (EUR per KWH),0.2896,
Eurostat,Household,KWH1000-2499,I_TAX,CY,2013-S1,Electricity price (EUR per KWH),0.2743,
Eurostat,Household,KWH1000-2499,I_TAX,CY,2013-S2,Electricity price (EUR per KWH),0.2468,
Eurostat,Household,KWH1000-2499,I_TAX,CY,2014-S1,Electricity price (EUR per KWH),0.2288,
Eurostat,Household,KWH1000-2499,I_TAX,CY,2014-S2,Electricity price (EUR per KWH),0.2345,
Eurostat,Household,KWH1000-2499,I_TAX,CY,2015-S1,Electricity price (EUR per KWH),0.1943,
Eurostat,Household,KWH1000-2499,I_TAX,CY,2015-S2,Electricity price (EUR per KWH),0.1826,
Eurostat,Household,KWH1000-2499,I_TAX,CY,2016-S1,Electricity price (EUR per KWH),0.1517,
Eurostat,Household,KWH1000-2499,I_TAX,CY,2016-S2,Electricity price (EUR per KWH),0.1616,
Eurostat,Household,KWH1000-2499,I_TAX,CY,2017-S1,Electricity price (EUR per KWH),0.1867,
Eurostat,Household,KWH1000-2499,I_TAX,CY,2017-S2,Electricity price (EUR per KWH),0.1867,
Eurostat,Household,KWH1000-2499,I_TAX,CY,2018-S1,Electricity price (EUR per KWH),0.2021,
Eurostat,Household,KWH1000-2499,I_TAX,CY,2018-S2,Electricity price (EUR per KWH),0.2308,
Eurostat,Household,KWH1000-2499,I_TAX,CY,2019-S1,Electricity price (EUR per KWH),0.2322,
Eurostat,Household,KWH1000-2499,I_TAX,CY,2019-S2,Electricity price (EUR per KWH),0.2362,
Eurostat,Household,KWH1000-2499,I_TAX,CY,2020-S1,Electricity price (EUR per KWH),0.2249,
Eurostat,Household,KWH1000-2499,I_TAX,CY,2020-S2,Electricity price (EUR per KWH),0.1835,
Eurostat,Household,KWH1000-2499,I_TAX,CY,2021-S1,Electricity price (EUR per KWH),0.2125,
Eurostat,Household,KWH1000-2499,I_TAX,CY,2021-S2,Electricity price (EUR per KWH),0.2451,
Eurostat,Household,KWH1000-2499,I_TAX,CY,2022-S1,Electricity price (EUR per KWH),0.2724,
Eurostat,Household,KWH1000-2499,I_TAX,CY,2022-S2,Electricity price (EUR per KWH),0.3377,
Eurostat,Household,KWH1000-2499,I_TAX,CY,2023-S1,Electricity price (EUR per KWH),0.3909,
Eurostat,Household,KWH1000-2499,I_TAX,CY,2023-S2,Electricity price (EUR per KWH),0.3635,
Eurostat,Household,KWH1000-2499,I_TAX,CY,2024-S1,Electricity price (EUR per KWH),0.3432,
Eurostat,Household,KWH1000-2499,I_TAX,CZ,2007-S1,Electricity price (EUR per KWH),0.1573,
Eurostat,Household,KWH1000-2499,I_TAX,CZ,2007-S2,Electricity price (EUR per KWH),0.1618,
Eurostat,Household,KWH1000-2499,I_TAX,CZ,2008-S1,Electricity price (EUR per KWH),0.1889,
Eurostat,Household,KWH1000-2499,I_TAX,CZ,2008-S2,Electricity price (EUR per KWH),0.1926,
Eurostat,Household,KWH1000-2499,I_TAX,CZ,2009-S1,Electricity price (EUR per KWH),0.1934,
Eurostat,Household,KWH1000-2499,I_TAX,CZ,2009-S2,Electricity price (EUR per KWH),0.2038,
Eurostat,Household,KWH1000-2499,I_TAX,CZ,2010-S1,Electricity price (EUR per KWH),0.1998,
Eurostat,Household,KWH1000-2499,I_TAX,CZ,2010-S2,Electricity price (EUR per KWH),0.2068,
Eurostat,Household,KWH1000-2499,I_TAX,CZ,2011-S1,Electricity price (EUR per KWH),0.2185,
Eurostat,Household,KWH1000-2499,I_TAX,CZ,2011-S2,Electricity price (EUR per KWH),0.2142,
Eurostat,Household,KWH1000-2499,I_TAX,CZ,2012-S1,Electricity price (EUR per KWH),0.2165,
Eurostat,Household,KWH1000-2499,I_TAX,CZ,2012-S2,Electricity price (EUR per KWH),0.2169,
Eurostat,Household,KWH1000-2499,I_TAX,CZ,2013-S1,Electricity price (EUR per KWH),0.2179,
Eurostat,Household,KWH1000-2499,I_TAX,CZ,2013-S2,Electricity price (EUR per KWH),0.2133,
Eurostat,Household,KWH1000-2499,I_TAX,CZ,2014-S1,Electricity price (EUR per KWH),0.1844,
Eurostat,Household,KWH1000-2499,I_TAX,CZ,2014-S2,Electricity price (EUR per KWH),0.1832,
Eurostat,Household,KWH1000-2499,I_TAX,CZ,2015-S1,Electricity price (EUR per KWH),0.1829,
Eurostat,Household,KWH1000-2499,I_TAX,CZ,2015-S2,Electricity price (EUR per KWH),0.1858,
Eurostat,Household,KWH1000-2499,I_TAX,CZ,2016-S1,Electricity price (EUR per KWH),0.1882,
Eurostat,Household,KWH1000-2499,I_TAX,CZ,2016-S2,Electricity price (EUR per KWH),0.1883,
Eurostat,Household,KWH1000-2499,I_TAX,CZ,2017-S1,Electricity price (EUR per KWH),0.1908,
Eurostat,Household,KWH1000-2499,I_TAX,CZ,2017-S2,Electricity price (EUR per KWH),0.1975,
Eurostat,Household,KWH1000-2499,I_TAX,CZ,2018-S1,Electricity price (EUR per KWH),0.2094,
Eurostat,Household,KWH1000-2499,I_TAX,CZ,2018-S2,Electricity price (EUR per KWH),0.2113,
Eurostat,Household,KWH1000-2499,I_TAX,CZ,2019-S1,Electricity price (EUR per KWH),0.2317,
Eurostat,Household,KWH1000-2499,I_TAX,CZ,2019-S2,Electricity price (EUR per KWH),0.2335,
Eurostat,Household,KWH1000-2499,I_TAX,CZ,2020-S1,Electricity price (EUR per KWH),0.2376,
Eurostat,Household,KWH1000-2499,I_TAX,CZ,2020-S2,Electricity price (EUR per KWH),0.2371,
Eurostat,Household,KWH1000-2499,I_TAX,CZ,2021-S1,Electricity price (EUR per KWH),0.2398,
Eurostat,Household,KWH1000-2499,I_TAX,CZ,2021-S2,Electricity price (EUR per KWH),0.2437,
Eurostat,Household,KWH1000-2499,I_TAX,CZ,2022-S1,Electricity price (EUR per KWH),0.2903,
Eurostat,Household,KWH1000-2499,I_TAX,CZ,2022-S2,Electricity price (EUR per KWH),0.0961,
Eurostat,Household,KWH1000-2499,I_TAX,CZ,2023-S1,Electricity price (EUR per KWH),0.3724,
Eurostat,Household,KWH1000-2499,I_TAX,CZ,2023-S2,Electricity price (EUR per KWH),0.3685,
Eurostat,Household,KWH1000-2499,I_TAX,CZ,2024-S1,Electricity price (EUR per KWH),0.3974,
Eurostat,Household,KWH1000-2499,I_TAX,DE,2007-S1,Electricity price (EUR per KWH),0.2258,
Eurostat,Household,KWH1000-2499,I_TAX,DE,2007-S2,Electricity price (EUR per KWH),0.234,
Eurostat,Household,KWH1000-2499,I_TAX,DE,2008-S1,Electricity price (EUR per KWH),0.2389,
Eurostat,Household,KWH1000-2499,I_TAX,DE,2008-S2,Electricity price (EUR per KWH),0.2439,
Eurostat,Household,KWH1000-2499,I_TAX,DE,2009-S1,Electricity price (EUR per KWH),0.2528,
Eurostat,Household,KWH1000-2499,I_TAX,DE,2009-S2,Electricity price (EUR per KWH),0.2534,
Eurostat,Household,KWH1000-2499,I_TAX,DE,2010-S1,Electricity price (EUR per KWH),0.2622,
Eurostat,Household,KWH1000-2499,I_TAX,DE,2010-S2,Electricity price (EUR per KWH),0.2695,
Eurostat,Household,KWH1000-2499,I_TAX,DE,2011-S1,Electricity price (EUR per KWH),0.2774,
Eurostat,Household,KWH1000-2499,I_TAX,DE,2011-S2,Electricity price (EUR per KWH),0.2777,
Eurostat,Household,KWH1000-2499,I_TAX,DE,2012-S1,Electricity price (EUR per KWH),0.2844,
Eurostat,Household,KWH1000-2499,I_TAX,DE,2012-S2,Electricity price (EUR per KWH),0.2927,
Eurostat,Household,KWH1000-2499,I_TAX,DE,2013-S1,Electricity price (EUR per KWH),0.3169,
Eurostat,Household,KWH1000-2499,I_TAX,DE,2013-S2,Electricity price (EUR per KWH),0.3176,
Eurostat,Household,KWH1000-2499,I_TAX,DE,2014-S1,Electricity price (EUR per KWH),0.3228,
Eurostat,Household,KWH1000-2499,I_TAX,DE,2014-S2,Electricity price (EUR per KWH),0.323,
Eurostat,Household,KWH1000-2499,I_TAX,DE,2015-S1,Electricity price (EUR per KWH),0.3212,
Eurostat,Household,KWH1000-2499,I_TAX,DE,2015-S2,Electricity price (EUR per KWH),0.3207,
Eurostat,Household,KWH1000-2499,I_TAX,DE,2016-S1,Electricity price (EUR per KWH),0.3263,
